"group","category","outcome","n","percent","lower","upper"
"Poor mental health, past 30 days","Never/rarely/sometimes","Make a plan",9886,8.89472667110461,5.99935402733086,11.7900993148784
"Binge drinking, past 30 days","One or more days","Make a plan",1399,28.2028820685675,24.0993781452907,32.3063859918443
"Binge drinking, past 30 days","Zero days","Make a plan",13720,14.394410402719,12.2932692933938,16.4955515120442
"Ever used marijuana","Yes","Make a plan",4722,26.9811250225588,24.5092842460384,29.4529657990793
"Ever used marijuana","No","Make a plan",10313,11.7994065600825,8.96522193383617,14.6335911863288
"School-night sleep","Under 8 hours","Make a plan",12231,18.9872372518414,16.2120034630545,21.7624710406283
"School-night sleep","8 or more hours","Make a plan",3649,9.19341863065811,7.61113485341157,10.7757024079046
"Unstable housing, past 30 days","Yes","Make a plan",470,40.2026301899159,20.3189955998039,60.0862647800279
"Unstable housing, past 30 days","No, including elsewhere","Make a plan",13746,15.5861070393778,13.8904075870965,17.2818064916591
"Household adult substance problem","Yes","Make a plan",3750,30.868336082599,26.727989937253,35.008682227945
"Household adult substance problem","No","Make a plan",9229,12.172450284788,10.5086578523966,13.8362427171794
"Household adult mental illness/suicidality","Yes","Make a plan",4215,32.2503548335794,29.044703141862,35.4560065252967
"Household adult mental illness/suicidality","No","Make a plan",8827,10.2076528094074,8.30632072560487,12.10898489321
"Adult met basic needs","Most/always","Make a plan",13334,14.8044689768138,13.2539549968778,16.3549829567497
"Adult met basic needs","Never/rarely/sometimes","Make a plan",2136,26.9626381316011,17.5243293192518,36.4009469439504
"Feel close to school people","Agree/strongly agree","Make a plan",5889,12.0435939960782,10.4820449300351,13.6051430621213
"Feel close to school people","Unsure/disagree","Make a plan",5034,22.5588330759938,19.4380979436796,25.679568208308
"Family knows whereabouts","Most/always","Make a plan",8944,14.545544474454,12.8125875326915,16.2785014162165
"Family knows whereabouts","Never/rarely/sometimes","Make a plan",1765,22.3937443769433,19.2945525393641,25.4929362145226
"Overall","All","Attempted",19336,9.46049383010132,8.3304191326429,10.5905685275597
"Sex","Female","Attempted",9552,12.6009828016388,11.101708737916,14.1002568653616
"Sex","Male","Attempted",9639,6.36729301817793,5.24420859242556,7.4903774439303
"Grade","9th grade","Attempted",5427,10.3641105928259,8.87913383135832,11.8490873542935
"Grade","10th grade","Attempted",5234,9.71201538745536,8.11654227453196,11.3074885003788
